date,state,city,address,num_killed,num_injured,lat,long
8-Dec-18,California,Inglewood,801 S Inglewood Ave,0,5,33.9616801,-118.3531311
8-Dec-18,New York,Corona (Queens),89-25 130th St,0,5,40.7449859,-73.8642613
1-Dec-18,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,25.7616798,-80.1917902
26-Nov-18,Tennessee,Powell,Tammy Dr,0,4,36.0318578,-84.027655
25-Nov-18,Alabama,Demopolis,Floyd St and Field St,2,2,32.5176361,-87.836402
25-Nov-18,Texas,Houston,4500 block of Yale St,1,3,29.7604267,-95.3698028
25-Nov-18,California,Oakland,1000 block of 24th St,0,4,37.8043637,-122.2711137
23-Nov-18,Florida,Miami,5801 NW 27th Ave,2,5,25.7616798,-80.1917902
22-Nov-18,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,41.079273,-85.1393513
21-Nov-18,Missouri,Saint Louis,4200 block of Shreve Ave,0,4,38.6270025,-90.1994042
19-Nov-18,Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,39.9525839,-75.1652215
19-Nov-18,Colorado,Denver,1200 21st Street,1,4,39.7392358,-104.990251
18-Nov-18,California,Los Angeles (Watts),95th St and Defiance Ave,1,4,33.9386361,-118.2380432
16-Nov-18,Arkansas,Little Rock,4405  W 14th St,3,1,34.7464809,-92.2895948
14-Nov-18,Louisiana,Baton Rouge,4800 block of Gus Young Ave,3,1,30.4514677,-91.1871466
13-Nov-18,New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,35.5280783,-108.7425843
13-Nov-18,Indiana,Indianapolis,2007 Blue Pine Ln,2,2,39.768403,-86.158068
12-Nov-18,North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,35.3062743,-78.6089028
11-Nov-18,Arizona,Globe,598 N Broad St,3,1,33.3942223,-110.7864984
7-Nov-18,California,Thousand Oaks,99 Rolling Oaks Dr,13,2,34.1705609,-118.8375937
3-Nov-18,New York,Watertown,136 Franklin St,0,5,43.9747838,-75.9107565
2-Nov-18,California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,33.8640647,-118.1766294
2-Nov-18,Florida,Tallahassee,1950 Thomasville Rd,3,5,30.4382559,-84.2807329
1-Nov-18,Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,44.977753,-93.2650108
1-Nov-18,Missouri,Springfield,906 E Locust St,2,2,37.2089572,-93.2922989
31-Oct-18,Michigan,Detroit,19000 block of Langholm St,1,3,42.331427,-83.0457538
30-Oct-18,California,Vallejo,Woodrow Ave and Reis Ave,2,3,38.1040864,-122.2566367
30-Oct-18,California,Los Angeles,65th Place and Vermont Avenue,0,5,34.0522342,-118.2436849
29-Oct-18,California,Riverside,3252 Mission Inn Ave,0,7,33.9806005,-117.3754942
28-Oct-18,Arkansas,El Dorado,2 Whites Quarters,2,2,33.20763,-92.6662674
27-Oct-18,Tennessee,Memphis,4275 Ladyslipper,0,5,35.1495343,-90.0489801
27-Oct-18,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,40.4406248,-79.9958864
26-Oct-18,New Jersey,Jersey City,77 Brinkerhoff St,1,3,40.7177545,-74.0431435
24-Oct-18,Illinois,Chicago,6200 block of S King Dr,0,5,41.8781136,-87.6297982
22-Oct-18,Illinois,Chicago,9231 S Cottage Grove Av,0,6,41.8781136,-87.6297982
21-Oct-18,Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,30.3321838,-81.655651
21-Oct-18,Washington,Lakewood,8722 S Tacoma Way,1,3,47.1717649,-122.518458
16-Oct-18,Georgia,Atlanta,Broad St,0,4,33.7489954,-84.3879824
15-Oct-18,Tennessee,Columbia,1075 Carters Creek Pike,5,0,35.6150716,-87.0352831
14-Oct-18,Nevada,Las Vegas,2815 W Lake Mead Blvd,3,1,36.1699412,-115.1398296
14-Oct-18,Texas,Fort Worth,5310 E Rosedale St,0,4,32.7554883,-97.3307658
14-Oct-18,California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,2,2,37.4688273,-122.1410751
13-Oct-18,Missouri,Saint Louis,400 block of Midlothian Road,0,4,38.6270025,-90.1994042
13-Oct-18,Texas,Taft,511 Wilburn St,4,1,27.9789074,-97.3986041
12-Oct-18,South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,34.9495672,-81.9320482
12-Oct-18,Nevada,Las Vegas,6500 block of W Charleston Blvd,0,4,36.1699412,-115.1398296
8-Oct-18,Alabama,Birmingham,Joppa Ave,0,4,33.5185892,-86.8103567
6-Oct-18,Oklahoma,Tulsa,9453 E 31st St,0,4,36.1539816,-95.992775
6-Oct-18,Texas,Houston,6802 Cullen Blvd,1,3,29.7604267,-95.3698028
6-Oct-18,California,Oakland,Williams St and Telegraph Ave,0,6,37.8043637,-122.2711137
4-Oct-18,New Mexico,Espanola (Espa̱ola),1813 N Riverside Dr,1,3,35.9910383,-106.0818233
4-Oct-18,Georgia,Swainsboro,Lucky St,0,4,32.5973856,-82.3337376
3-Oct-18,Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,39.9525839,-75.1652215
3-Oct-18,South Carolina,Florence,932 Ashton Dr,2,6,34.1954331,-79.7625625
1-Oct-18,Illinois,Chicago,500 block of S Michigan Ave,2,2,41.8781136,-87.6297982
30-Sep-18,California,Compton,200 block N Long Beach Blvd,1,3,33.8958492,-118.2200712
29-Sep-18,Florida,Orlando,1700 block of 24th St,1,4,28.5383355,-81.3792365
28-Sep-18,Pennsylvania,Philadelphia,5100 block of Haverford Ave,2,2,39.9525839,-75.1652215
24-Sep-18,Tennessee,Memphis,1528 Ragan St,3,2,35.1495343,-90.0489801
23-Sep-18,California,Bakersfield,2600 block of Chandler Court,1,4,35.3732921,-119.0187125
23-Sep-18,California,Baldwin Park,3700 block of Loma Lane,0,4,34.0852868,-117.9608978
